Pitch,Label
-88.99,Berdiri
-88.99,Berdiri
-88.99,Berdiri
-89.11,Berdiri
-89.11,Berdiri
-89.11,Berdiri
-89.44,Berdiri
-89.44,Berdiri
-89.44,Berdiri
-88.78,Berdiri
-88.78,Berdiri
-88.78,Berdiri
-89.83,Berdiri
-89.83,Berdiri
-89.83,Berdiri
-88.99,Berdiri
-88.99,Berdiri
-88.99,Berdiri
-89.24,Berdiri
-89.24,Berdiri
-89.24,Berdiri
-89.24,Berdiri
-89.08,Berdiri
-89.08,Berdiri
-88.89,Berdiri
-88.89,Berdiri
-88.89,Berdiri
-88.93,Berdiri
-88.93,Berdiri
-88.93,Berdiri
-88.60,Berdiri
-88.60,Berdiri
-88.60,Berdiri
-88.71,Berdiri
-88.71,Berdiri
-88.71,Berdiri
-88.58,Berdiri
-88.58,Berdiri
-88.58,Berdiri
-87.79,Berdiri
-87.79,Berdiri
-87.79,Berdiri
-88.62,Berdiri
-88.62,Berdiri
-88.62,Berdiri
-89.31,Berdiri
-89.31,Berdiri
-89.31,Berdiri
-89.34,Berdiri
-89.34,Berdiri
-89.34,Berdiri
-89.88,Berdiri
-89.88,Berdiri
-89.88,Berdiri
-89.92,Berdiri
-89.92,Berdiri
-89.92,Berdiri
-87.48,Berdiri
-87.48,Berdiri
-87.48,Berdiri
-88.21,Berdiri
-88.21,Berdiri
-88.21,Berdiri
-88.12,Berdiri
-88.12,Berdiri
-88.12,Berdiri
-88.16,Berdiri
-88.16,Berdiri
-88.16,Berdiri
-88.71,Berdiri
-88.71,Berdiri
-88.71,Berdiri
-88.47,Berdiri
-88.47,Berdiri
-88.47,Berdiri
-88.46,Berdiri
-88.46,Berdiri
-88.46,Berdiri
-88.55,Berdiri
-88.55,Berdiri
-88.55,Berdiri
-88.59,Berdiri
-88.59,Berdiri
-88.59,Berdiri
-88.49,Berdiri
-88.49,Berdiri
-88.49,Berdiri
-89.00,Berdiri
-89.00,Berdiri
-89.00,Berdiri
-89.15,Berdiri
-89.15,Berdiri
-89.15,Berdiri
-0.31,Tidur
-0.31,Tidur
-0.31,Tidur
-0.31,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.29,Tidur
-0.29,Tidur
-0.29,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.29,Tidur
-0.29,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.28,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.27,Tidur
-0.28,Tidur
-0.28,Tidur
89.59,Terbalik
89.59,Terbalik
89.59,Terbalik
89.45,Terbalik
89.45,Terbalik
89.45,Terbalik
89.58,Terbalik
89.58,Terbalik
89.58,Terbalik
89.32,Terbalik
89.32,Terbalik
89.32,Terbalik
89.66,Terbalik
89.66,Terbalik
89.66,Terbalik
89.26,Terbalik
89.26,Terbalik
89.26,Terbalik
88.69,Terbalik
88.69,Terbalik
88.69,Terbalik
88.59,Terbalik
88.59,Terbalik
88.59,Terbalik
88.93,Terbalik
88.93,Terbalik
88.93,Terbalik
88.61,Terbalik
88.61,Terbalik
88.61,Terbalik
88.61,Terbalik
88.37,Terbalik
88.37,Terbalik
88.26,Terbalik
88.26,Terbalik
88.26,Terbalik
88.47,Terbalik
88.47,Terbalik
88.47,Terbalik
88.46,Terbalik
88.46,Terbalik
88.46,Terbalik
88.46,Terbalik
88.46,Terbalik
88.46,Terbalik
88.40,Terbalik
88.40,Terbalik
88.40,Terbalik
88.73,Terbalik
88.73,Terbalik
88.73,Terbalik
89.36,Terbalik
89.36,Terbalik
89.36,Terbalik
89.43,Terbalik
89.43,Terbalik
89.43,Terbalik
88.87,Terbalik
88.87,Terbalik
88.87,Terbalik
88.92,Terbalik
88.92,Terbalik
88.92,Terbalik
88.92,Terbalik
88.88,Terbalik
88.88,Terbalik
88.81,Terbalik
88.81,Terbalik
88.81,Terbalik
88.85,Terbalik
88.85,Terbalik
88.85,Terbalik
88.58,Terbalik
88.58,Terbalik
88.58,Terbalik
88.46,Terbalik
88.46,Terbalik
88.46,Terbalik
88.35,Terbalik
88.35,Terbalik
88.35,Terbalik
88.36,Terbalik
88.36,Terbalik
88.36,Terbalik
88.50,Terbalik
88.50,Terbalik
88.50,Terbalik
88.58,Terbalik
88.58,Terbalik
88.58,Terbalik
